RunId,RunStart,FlowFile,FlowPath,Status,ExitCode,DurationSec
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\add_prompt.yaml,,PASSED,0,430.68
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,,PASSED,0,188.82
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\education_school_input.yaml,,PASSED,0,341.78
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\education_select.yaml,,PASSED,0,335.03
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\gender_preference.yaml,,PASSED,0,215.45
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\gender_select.yaml,,PASSED,0,192.2
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\photo_upload_gallery.yaml,,PASSED,0,271.66
6.30E+06,2026-02-26T13:24:03,C:\Users\terxi\maestro-tests\onboarding\relationship_goals.yaml,,PASSED,0,171.01
1912a01a,2026-02-26T17:08:52,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,PASSED,0,152.99
fb47bc5f,2026-02-26T17:14:01,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,PASSED,0,153.11
65918aaf,2026-02-26T17:16:35,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,PASSED,0,156.19
9436a954,2026-02-26T17:19:13,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,PASSED,0,169.92
3b56ca9a,2026-02-26T17:22:06,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,PASSED,0,186.76
6fca4bce,2026-02-26T17:25:16,dob_valid.yaml,C:\Users\terxi\maestro-tests\onboarding\dob_valid.yaml,FAILED,1,70.46
1d6bfc06,2026-02-26T17:41:28,at_birthday_or_relationship.yaml,C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml,PASSED,0,68.84
c8dd7f21,2026-02-26T17:42:41,at_birthday_or_relationship.yaml,C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml,PASSED,0,71.9
3523411a,2026-02-26T17:44:18,at_birthday_or_relationship.yaml,C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml,PASSED,0,66.98
124f1f21,2026-02-26T17:45:29,at_birthday_or_relationship.yaml,C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml,PASSED,0,81.42
